486-1252:[None, False, 'add', 24, True, True],1.1874046311732764
486-1253:[None, False, 'add', 24, False, False],0.8779299049946617
486-1254:[None, False, 'add', 24, False, False],0.9203714136398773
486-1255:[None, False, 'add', 24, False, False],1.6119735355897111
486-1256:[None, False, 'add', 24, False, False],1.6284169178871633
486-1257:[None, False, 'add', 24, False, False],1.3134028413658951
486-1258:[None, False, 'add', 24, True, True],1.402111086217446
486-1259:[None, False, 'add', 24, True, False],0.8788958291609537
486-1260:[None, False, 'add', 24, True, False],1.0577115402118986
486-1261:[None, False, 'add', 24, True, False],1.0652529848289867
486-1262:[None, False, 'add', 24, True, False],1.077384615794877
486-1263:[None, False, 'add', 24, True, False],11.817195059922595
486-1264:[None, False, 'add', 24, True, False],11.0302745088118
486-1265:[None, False, 'add', 24, False, False],7.591568392029829
486-1266:[None, False, 'add', 24, False, False],1.9197914914430712
486-1267:[None, False, 'add', 24, False, False],0.5133130573224453
486-1268:[None, False, 'add', 24, False, False],0.6226702289416591
487-1252:[None, False, 'add', 24, True, True],0.5157963440992224
487-1253:[None, False, 'add', 24, False, False],1.2969128992241301
487-1254:[None, False, 'add', 24, False, False],1.4356631158809048
487-1255:[None, False, 'add', 24, False, False],0.8979381792504808
487-1256:[None, False, 'add', 24, False, False],1.6846116571096823
487-1257:[None, False, 'add', 24, False, False],1.1062041299702003
487-1258:[None, False, 'add', 24, False, False],1.1081362881404533
487-1259:[None, False, 'add', 24, True, False],1.4117120300058017
487-1260:[None, False, 'add', 24, True, False],1.1607257926906824
487-1261:[None, False, 'add', 24, True, False],1.0292945405281642
487-1262:[None, False, 'add', 24, True, False],1.7178158064046012
487-1263:[None, False, 'add', 24, True, False],13.33564423917228
487-1264:[None, False, 'add', 24, True, False],11.806204607136403
487-1265:[None, False, 'add', 24, False, False],8.90841871575716
487-1266:[None, False, 'add', 24, False, False],4.305976245835093
487-1267:[None, False, 'add', 24, False, True],0.548361768754408
487-1268:[None, False, 'add', 24, False, False],2.6346736867653564
488-1252:[None, False, 'add', 24, False, False],2.7626126067556345
488-1253:[None, False, 'add', 24, False, False],5.856482885797221
488-1254:[None, False, 'add', 24, False, False],2.0479546955773973
488-1255:[None, False, 'add', 24, False, False],1.5007732300885932
488-1256:[None, False, 'add', 24, False, False],1.2855502724116727
